@RELATION stokkarti

@ATTRIBUTE code string
@ATTRIBUTE malzemeadi string
@ATTRIBUTE cikistop numeric
@ATTRIBUTE currentstock numeric
@ATTRIBUTE averageusage numeric

@DATA
150-03-03-270002210,ABESLANGDILBASACAGITAHTANONSTERIL,400,1600,200
150-03-03-270002376,AIR-WAYORALNO:3,363,830,71
150-03-03-270002375,AIR-WAYORALNO:4SARI,42,2,14
150-03-03-210006454,ALKOL,561,599,187
150-03-03-270000123,ANESTEZIDEVRESISUTUTUCUSUZYETISKIN(+08MUZATMA),155,30,51
150-03-03-270012286,ANTISEPTIKSOLUSYONYARAYIKAMA250ML,8,33,2
150-03-03-270001881,ASPIRASYONKATETERINO:12(DMO),0,10,0
150-03-03-270001877,ASPIRASYONKATETERINO:14,950,550,475
150-03-03-210113908,ASPIRASYONTORBASI2000ML,120,280,120
150-03-03-270002433,BAGLANTITUPUY-TUR(IRRIGASYON)SETIPUARLI,30,170,10
150-03-03-270000173,BAGLANTITUPUY-TUR(IRRIGASYON)SETIPUARSIZ,35,115,11
150-03-03-270000154,BAKTERIFILTRESIHMEFFILTRELI-ELITE,50,450,25
150-03-03-270000154,BAKTERIVENTILATORFILTRESIBAKTERI/VIRUSNEMTUTUCULU(HMEF)YETISKIN,400,125,133
150-03-03-270000005,BASINCIZLEMESETITEKLI(TRANSDUSER),40,5,13
1158,BASINCOLCUMSETITRANSDUSERLITEKLI,0,53,0
150-03-03-210006464,BATIKON1000ML,169,3,56
150-03-03-210006464,BATIKONPOLIVIDONIYOT1000ML,53,104,17
150-03-03-210006464,BATIKONPOLIVIDONIYOT1000ML,0,200,0
150-03-03-210032948,BISTURIUCUNO:15,200,800,66
150-03-03-270001593,BISTURIUCUNO:10,300,300,100
150-03-03-270001595,BISTURIUCUNO:11,400,1000,133
1055,BISTURIUCUNO:12PLASMED,0,300,0
150-03-03-270001601,BISTURIUCUNO:15-DMO,0,1200,0
150-03-03-270001609,BISTURIUCUNO:22,400,200,133
150-03-03-270001593,BISTURIUCUKARBONCELIKNO:10,0,1000,0
150-03-03-270001605,BISTURIUCUKARBONCELIKNO:20,200,800,200
150-03-03-270001609,BISTURIUCUKARBONCELIKNO:22,0,400,0
150-03-03-270006568,BIYOPSIIGNESITABANCAYAUYUMLU18G10CM,0,20,0
150-03-03-270001568,BIYOPSIIGNESITABANCAYAUYUMLU18G15(2)CM,0,10,0
150-03-03-270002636,BOBREKKUVETPLASTIK,4500,2400,1500
150-03-03-270002755,BRONKOSKOPIKMUKUSEKSTRAKTOR20MLTRAKEALASPIRASYONKULTURSETI,0,56,0
150-03-03-270002434,BRONSIYALLAVAJKABI25ML,15,15,15
150-03-03-270001776,CERRAHIELDIVENLATEKSPUDRASIZSTERILNO:65,0,800,0
150-03-03-270001583,CERRAHIELDIVENPUDRALINO:7,1000,950,333
150-03-03-270001580,CERRAHIELDIVENPUDRASIZANTIMIKROBIYALBARIYERLI(HIV+HCV+HBSAG+)NO:7.5,0,50,0
150-03-03-270001913,CERRAHIELDIVENPUDRASIZANTIMIKROBIYALBARIYERLI(HIV+HCV+HBSAG+)NO:8,0,50,0
150-03-03-270001910,CERRAHIELDIVENPUDRASIZANTIMIKROBIYALBARIYERLI(HIV+HCV+HBSAG+)NO:6.5,0,50,0
150-03-03-270001782,CERRAHIELDIVENLATEKSPUDRALINO:7.5,1650,150,150
150-03-03-270001585,CERRAHIELDIVENLATEKSPUDRASIZNO:7,350,650,350
150-03-03-270001777,CERRAHIELDIVENLATEKSPUDRASIZNO:7.5,1000,1050,333
150-03-03-270001778,CERRAHIELDIVENLATEKSPUDRASIZNO:8,1250,2750,625
150-03-03-270002003,CILTSTAPLERIYUKLEMESIZ35LIK,201,99,100
150-03-03-210146221,CILTTEMIZLEMEKOPUGU,13,9,4
150-03-03-270006806,CSPOLIGLAKTINEMILEBILENIGNESIZNO:2/05(2)*45(5)CM,48,192,16
150-03-03-270006216,CSPOLIPROPILENNO:3/0KES30(2)MM3/870(10)CMSENTETIKMONOFLAMENTEMILEMEYEN,48,72,24
150-03-03-270009618,CSIPEKATRAVMATIKNO:2/030MMYUKARIKESKIN,36,84,36
150-03-03-270012421,CSIPEKEMILEMEYENNO:3/0YUV25(2)MM75CM,216,156,72
150-03-03-210003784,CSIPEKIPLIKNO:117*45CM,72,372,24
150-03-03-210003791,CSIPEKIPLIKNO:2/017*45CM,12,228,4
150-03-03-270009653,CSIPEKNO:2/0YUVDOGALEMILEMEYEN25(2)MM75CM,624,232,208
150-03-03-270009353,CSPOLIDIOKSANONLOOPNO:140(2)MM1/2YUVARLAK,0,240,0
150-03-03-270009353,CSPOLIDIOKSANONLOOPNO:140(2)MM1/2YUV150CM,168,96,56
150-03-03-270006663,CSPOLIGLAKTINEMILEBILENNO:2/0YUV,156,384,52
150-03-03-270006798,CSPOLIGLAKTINIGNESIZNO:3/010(2)*45(5)CMSENTETIKMULTIFLAMENTORTADONEMEMILEBILEN,204,396,68
150-03-03-270006616,CSPOLIGLAKTINNO:140(2)MM1/2YUVARLAK70(10)CMORTADONEMEMILEBILEN,36,264,36
150-03-03-210001798,CSPOLIGLAKTINSAPNO:2/06*45CM,0,24,0
150-03-03-210001798,CSPOLIGLAKTINSAPNO:2/06*45CM,0,312,0
150-03-03-270006491,CSPOLIGLAKTINVICRILNO:1X90CM40MMYUVARLAK,288,312,144
150-03-03-270013024,CSPOLIGLEKAPRONKES4/0(PGCL)20(2)MM3/8KESKIN70(10)CM,0,420,0
150-03-03-210001354,CSPOLIGLEKAPRONKESKINNO:2/0,120,120,0
150-03-03-210001352,CSPOLIGLEKAPRONKESKINNO:2/026MM75CM,0,240,0
150-03-03-210112520,CSPOLIGLEKAPRONKESKINNO:3/026MM75CM3/8,432,180,144
150-03-03-210002205,CSPOLIPROPILENNO:2/0CIFTDUZIGNE70MM75CM,12,84,4
150-03-03-270007164,CSPOLIPROPILENNO:3/0YUV25(2)MM1/270(10)CMEMILEMEYEN,168,240,56
150-03-03-270006253,CSPOLIPROPILENKESNO:2/025(5)MM3/875CM,180,180,60
150-03-03-270003356,CSPOLIPROPILENKESNO:2/025(2)MM3/8KES75CMEMILEMEYEN,84,792,28
150-03-03-210118881,CSPOLIPROPILENKESKINNO:140MM100CM,348,16,4
150-03-03-270006216,CSPOLIPROPILENNO:3/030(2)MM3/8KESKIN75CM,132,348,44
150-03-03-270013084,CSPROLENNO:3/025MM1/2YUVARLAK90CM,0,240,0
150-03-03-270001927,DAIRESELKAPATICIKESICISTAPLERKALINDOKU32MM,0,5,0
150-03-03-210009280,DAMARKAPAMAVEKESMEPROBUACIKBATINUCU(ENSEAL),6,6,2
150-03-03-210009284,DAMARKAPAMAVEKESMEPROBUTIROIDUCU19CM,8,12,8
150-03-03-270011333,DAMARKESMEVEKAPAMAPROBUTIROIDEGRIUCLU7MM135CM(VOYANT)ACIKCERRAHI,0,5,0
150-03-03-270000010,DAMLAAYARSETI,2200,1300,666
150-03-03-210032871,DERMALPANC(PUNCH)31-4MM,0,140,0
150-03-03-270003833,DRENPEZZER26F,0,10,0
150-03-03-270007703,DRENAJKATETERIHIDROFILIKBILIYERKILITLI10F35CM,19,1,0
150-03-03-270002412,DRENAJKATETERITORAKSTROKARLI24F,25,68,8
150-03-03-270002411,DRENAJKATETERITORAKSTROKARLI28F,17,17,5
150-03-03-270002410,DRENAJKATETERITORAKSTROKARLI32F,39,23,13
